V,I_alpha_B+0.5,I_alpha_B0,I_alpha_B-0.5
-0.1,-4.400489244038702e-08,-2.084442273492017e-08,-3.16526419308047e-08
-0.099,-3.7828767185595867e-08,-2.702054798971133e-08,-3.3196673244502493e-08
-0.098,-2.856457930340912e-08,-2.4704501019164645e-08,-2.5476516676013543e-08
-0.097,-3.088062627395581e-08,-1.930039142122238e-08,-3.24246575876536e-08
-0.096,-2.6248532332862434e-08,-3.7056751528746966e-08,-3.551272021504918e-08
-0.095,-1.930039142122238e-08,-3.088062627395581e-08,-3.474070455820028e-08
-0.094,-2.856457930340912e-08,-3.088062627395581e-08,-2.3932485362315747e-08
-0.093,-2.4704501019164645e-08,-3.7056751528746966e-08,-3.16526419308047e-08
-0.092,-1.62123287938268e-08,-2.084442273492017e-08,-3.24246575876536e-08
-0.091,-3.396868890135139e-08,-2.007240707807127e-08,-3.551272021504918e-08
-0.09000000000000001,-2.9336594960258018e-08,-2.3160469705466856e-08,-2.007240707807127e-08
-0.08900000000000001,-2.2388454048617958e-08,-3.16526419308047e-08,-2.3932485362315747e-08
-0.08800000000000001,-2.6248532332862434e-08,-2.6248532332862434e-08,-3.396868890135139e-08
-0.08700000000000001,-2.3932485362315747e-08,-3.7056751528746966e-08,-3.010861061710691e-08
-0.08600000000000001,-1.6984344450675694e-08,-1.775636010752459e-08,-2.5476516676013543e-08
-0.085,-3.010861061710691e-08,-2.5476516676013543e-08,-2.084442273492017e-08
-0.084,-2.5476516676013543e-08,-2.3160469705466856e-08,-2.2388454048617958e-08
-0.083,-2.1616438391769067e-08,-2.3932485362315747e-08,-2.6248532332862434e-08
-0.082,-2.4704501019164645e-08,-2.6248532332862434e-08,-1.1580234852733428e-08
-0.081,-2.702054798971133e-08,-2.702054798971133e-08,-2.007240707807127e-08
-0.08,-2.007240707807127e-08,-1.775636010752459e-08,-2.9336594960258018e-08
-0.079,-1.775636010752459e-08,-3.474070455820028e-08,-2.3160469705466856e-08
-0.07800000000000001,-2.702054798971133e-08,-2.084442273492017e-08,-1.6984344450675694e-08
-0.07700000000000001,-2.702054798971133e-08,-2.3160469705466856e-08,-1.775636010752459e-08
-0.07600000000000001,-5.404109597942267e-09,-2.3932485362315747e-08,-2.3932485362315747e-08
-0.07500000000000001,-1.930039142122238e-08,-2.1616438391769067e-08,-2.3160469705466856e-08
-0.07400000000000001,-2.1616438391769067e-08,-2.2388454048617958e-08,-2.6248532332862434e-08
-0.07300000000000001,-2.084442273492017e-08,-1.0808219195884534e-08,-2.007240707807127e-08
-0.07200000000000001,-1.0808219195884534e-08,-1.6984344450675694e-08,-8.492172225337847e-09
-0.07100000000000001,-1.62123287938268e-08,-2.702054798971133e-08,-1.5440313136977905e-08
-0.07,-2.084442273492017e-08,-1.3124266166431217e-08,-1.4668297480129009e-08
-0.069,-1.4668297480129009e-08,-9.264187882186741e-09,-1.3896281823280113e-08
-0.068,-1.930039142122238e-08,-1.3896281823280113e-08,-2.2388454048617958e-08
-0.067,-1.3124266166431217e-08,-2.2388454048617958e-08,-1.8528375764373483e-08
-0.066,-1.775636010752459e-08,-1.62123287938268e-08,-2.084442273492017e-08
-0.065,-1.930039142122238e-08,-1.0036203539035636e-08,-2.6248532332862434e-08
-0.064,-6.9481409116400565e-09,-1.62123287938268e-08,-1.3896281823280113e-08
-0.063,-1.3896281823280113e-08,-1.4668297480129009e-08,-1.775636010752459e-08
-0.062000000000000006,-1.930039142122238e-08,-3.0880626273955806e-09,-1.8528375764373483e-08
-0.061000000000000006,-2.084442273492017e-08,-2.084442273492017e-08,1.5440313136977903e-09
-0.060000000000000005,-1.775636010752459e-08,-1.2352250509582322e-08,-8.492172225337847e-09
-0.059000000000000004,-1.775636010752459e-08,0.0,-1.62123287938268e-08
-0.058,-1.62123287938268e-08,-1.6984344450675694e-08,-1.3124266166431217e-08
-0.057,-1.5440313136977905e-08,-3.860078284244476e-09,-2.007240707807127e-08
-0.05600000000000001,-6.9481409116400565e-09,-6.176125254791161e-09,-1.2352250509582322e-08
-0.05500000000000001,-8.492172225337847e-09,-6.9481409116400565e-09,-8.492172225337847e-09
-0.054000000000000006,-2.1616438391769067e-08,-1.5440313136977903e-09,-9.264187882186741e-09
-0.053000000000000005,-2.007240707807127e-08,-9.264187882186741e-09,-1.4668297480129009e-08
-0.052000000000000005,-5.404109597942267e-09,-1.1580234852733428e-08,-1.3124266166431217e-08
-0.051000000000000004,-4.632093941093371e-09,-4.632093941093371e-09,-1.0036203539035636e-08
-0.05,-1.0036203539035636e-08,-1.4668297480129009e-08,-1.5440313136977905e-08
-0.049,-1.3124266166431217e-08,-1.775636010752459e-08,-9.264187882186741e-09
-0.048,-9.264187882186741e-09,-6.176125254791161e-09,-8.492172225337847e-09
-0.04700000000000001,-9.264187882186741e-09,-1.1580234852733428e-08,-1.2352250509582322e-08
-0.046000000000000006,-1.3896281823280113e-08,-1.2352250509582322e-08,-7.720156568488953e-09
-0.045000000000000005,-8.492172225337847e-09,-8.492172225337847e-09,-4.632093941093371e-09
-0.044000000000000004,-1.2352250509582322e-08,-6.9481409116400565e-09,-1.5440313136977903e-09
-0.043000000000000003,-7.720156568488952e-10,-3.860078284244476e-09,-1.3124266166431217e-08
-0.042,-7.720156568488953e-09,-1.1580234852733428e-08,-2.2388454048617958e-08
-0.041,-1.5440313136977903e-09,7.720156568488952e-10,7.720156568488952e-10
-0.04000000000000001,-5.404109597942267e-09,-7.720156568488953e-09,-1.0036203539035636e-08
-0.03900000000000001,-1.0036203539035636e-08,-6.176125254791161e-09,1.5440313136977903e-09
-0.038000000000000006,-4.632093941093371e-09,0.0,1.5440313136977903e-09
-0.037000000000000005,-1.4668297480129009e-08,-9.264187882186741e-09,-3.0880626273955806e-09
-0.036000000000000004,-4.632093941093371e-09,-7.720156568488953e-09,-6.176125254791161e-09
-0.035,-1.0036203539035636e-08,-4.632093941093371e-09,-1.2352250509582322e-08
-0.034,7.720156568488952e-10,-7.720156568488953e-09,-1.2352250509582322e-08
-0.033,-3.860078284244476e-09,3.0880626273955806e-09,-6.176125254791161e-09
-0.032,-9.264187882186741e-09,-7.720156568488952e-10,1.5440313136977903e-09
-0.031,7.720156568488953e-09,-3.860078284244476e-09,-7.720156568488952e-10
-0.03,3.0880626273955806e-09,-6.9481409116400565e-09,6.176125254791161e-09
-0.028999999999999998,1.5440313136977903e-09,6.176125254791161e-09,-3.860078284244476e-09
-0.027999999999999997,8.492172225337847e-09,-3.0880626273955806e-09,-9.264187882186741e-09
-0.02700000000000001,-3.860078284244476e-09,-1.5440313136977903e-09,-3.0880626273955806e-09
-0.02600000000000001,5.404109597942267e-09,-3.0880626273955806e-09,0.0
-0.02500000000000001,7.720156568488952e-10,-6.176125254791161e-09,2.3160469705466853e-09
-0.024000000000000007,2.3160469705466853e-09,-6.176125254791161e-09,-3.0880626273955806e-09
-0.023000000000000007,1.5440313136977903e-09,3.860078284244476e-09,-4.632093941093371e-09
-0.022000000000000006,7.720156568488953e-09,7.720156568488952e-10,3.860078284244476e-09
-0.021000000000000005,-6.176125254791161e-09,-2.3160469705466853e-09,0.0
-0.020000000000000004,5.404109597942267e-09,1.5440313136977903e-09,-6.176125254791161e-09
-0.019000000000000003,4.632093941093371e-09,6.9481409116400565e-09,4.632093941093371e-09
-0.018000000000000002,7.720156568488953e-09,7.720156568488953e-09,3.0880626273955806e-09
-0.017,-2.3160469705466853e-09,1.0808219195884534e-08,9.264187882186741e-09
-0.016,5.404109597942267e-09,5.404109597942267e-09,1.0036203539035636e-08
-0.015,8.492172225337847e-09,1.1580234852733428e-08,-7.720156568488952e-10
-0.013999999999999999,1.5440313136977903e-09,1.2352250509582322e-08,4.632093941093371e-09
-0.012999999999999998,1.5440313136977905e-08,9.264187882186741e-09,3.0880626273955806e-09
-0.01200000000000001,1.0036203539035636e-08,-3.860078284244476e-09,1.0808219195884534e-08
-0.01100000000000001,8.492172225337847e-09,1.1580234852733428e-08,0.0
-0.010000000000000009,1.0808219195884534e-08,1.3896281823280113e-08,9.264187882186741e-09
-0.009000000000000008,4.632093941093371e-09,1.2352250509582322e-08,4.632093941093371e-09
-0.008000000000000007,1.62123287938268e-08,1.1580234852733428e-08,2.3160469705466853e-09
-0.007000000000000006,1.8528375764373483e-08,1.3124266166431217e-08,7.720156568488953e-09
-0.006000000000000005,4.632093941093371e-09,1.5440313136977903e-09,9.264187882186741e-09
-0.0050000000000000044,8.492172225337847e-09,1.0036203539035636e-08,9.264187882186741e-09
-0.0040000000000000036,1.3124266166431217e-08,1.5440313136977903e-09,1.3896281823280113e-08
-0.0030000000000000027,1.2352250509582322e-08,1.62123287938268e-08,7.720156568488953e-09
-0.0020000000000000018,8.492172225337847e-09,6.176125254791161e-09,1.0036203539035636e-08
-0.0010000000000000009,2.3160469705466853e-09,1.0036203539035636e-08,1.3896281823280113e-08
0.0,1.6984344450675694e-08,1.2352250509582322e-08,1.8528375764373483e-08
0.0010000000000000009,9.264187882186741e-09,1.0808219195884534e-08,0.0
0.0020000000000000018,1.2352250509582322e-08,1.1580234852733428e-08,1.2352250509582322e-08
0.0030000000000000027,1.0036203539035636e-08,1.3896281823280113e-08,1.62123287938268e-08
0.0040000000000000036,7.720156568488953e-09,2.007240707807127e-08,6.9481409116400565e-09
0.0049999999999999906,8.492172225337847e-09,1.3896281823280113e-08,1.0036203539035636e-08
0.0059999999999999915,1.62123287938268e-08,2.4704501019164645e-08,8.492172225337847e-09
0.006999999999999992,1.8528375764373483e-08,2.2388454048617958e-08,1.62123287938268e-08
0.007999999999999993,1.3124266166431217e-08,7.720156568488953e-09,1.2352250509582322e-08
0.008999999999999994,1.2352250509582322e-08,1.5440313136977903e-09,8.492172225337847e-09
0.009999999999999995,1.6984344450675694e-08,1.8528375764373483e-08,1.4668297480129009e-08
0.010999999999999996,1.4668297480129009e-08,2.007240707807127e-08,1.4668297480129009e-08
0.011999999999999997,1.3896281823280113e-08,1.4668297480129009e-08,1.930039142122238e-08
0.012999999999999998,1.0036203539035636e-08,1.1580234852733428e-08,1.2352250509582322e-08
0.013999999999999999,1.775636010752459e-08,1.1580234852733428e-08,6.9481409116400565e-09
0.015,2.1616438391769067e-08,1.62123287938268e-08,1.930039142122238e-08
0.016,1.62123287938268e-08,1.2352250509582322e-08,2.7792563646560226e-08
0.017,2.1616438391769067e-08,1.930039142122238e-08,1.775636010752459e-08
0.018000000000000002,2.084442273492017e-08,2.2388454048617958e-08,2.3160469705466856e-08
0.019000000000000003,1.6984344450675694e-08,1.775636010752459e-08,1.5440313136977905e-08
0.01999999999999999,1.4668297480129009e-08,2.084442273492017e-08,2.007240707807127e-08
0.02099999999999999,2.1616438391769067e-08,2.6248532332862434e-08,1.3124266166431217e-08
0.021999999999999992,1.0808219195884534e-08,2.2388454048617958e-08,1.4668297480129009e-08
0.022999999999999993,1.8528375764373483e-08,2.856457930340912e-08,2.856457930340912e-08
0.023999999999999994,2.856457930340912e-08,3.16526419308047e-08,2.7792563646560226e-08
0.024999999999999994,1.930039142122238e-08,3.474070455820028e-08,2.2388454048617958e-08
0.025999999999999995,2.3160469705466856e-08,2.9336594960258018e-08,1.930039142122238e-08
0.026999999999999996,2.084442273492017e-08,1.3124266166431217e-08,1.3124266166431217e-08
0.027999999999999997,2.007240707807127e-08,2.5476516676013543e-08,1.930039142122238e-08
0.028999999999999998,3.088062627395581e-08,2.5476516676013543e-08,2.4704501019164645e-08
0.03,2.9336594960258018e-08,3.628473587189807e-08,1.930039142122238e-08
0.031,3.16526419308047e-08,3.16526419308047e-08,2.5476516676013543e-08
0.032,2.702054798971133e-08,3.860078284244476e-08,3.3196673244502493e-08
0.033,2.3932485362315747e-08,2.1616438391769067e-08,2.084442273492017e-08
0.034,2.3160469705466856e-08,2.3160469705466856e-08,2.4704501019164645e-08
0.035,2.4704501019164645e-08,3.16526419308047e-08,2.007240707807127e-08
0.036000000000000004,2.5476516676013543e-08,3.088062627395581e-08,2.007240707807127e-08
0.037000000000000005,2.2388454048617958e-08,2.2388454048617958e-08,3.3196673244502493e-08
0.038000000000000006,2.7792563646560226e-08,3.551272021504918e-08,2.4704501019164645e-08
0.03900000000000001,2.856457930340912e-08,2.5476516676013543e-08,3.16526419308047e-08
0.04000000000000001,3.860078284244476e-08,2.1616438391769067e-08,2.2388454048617958e-08
0.04100000000000001,2.1616438391769067e-08,2.702054798971133e-08,3.088062627395581e-08
0.04200000000000001,2.856457930340912e-08,2.856457930340912e-08,2.7792563646560226e-08
0.04300000000000001,2.3932485362315747e-08,3.010861061710691e-08,2.702054798971133e-08
0.04400000000000001,3.16526419308047e-08,2.702054798971133e-08,3.24246575876536e-08
0.044999999999999984,3.088062627395581e-08,3.474070455820028e-08,3.010861061710691e-08
0.045999999999999985,3.551272021504918e-08,3.7056751528746966e-08,3.3196673244502493e-08
0.046999999999999986,2.6248532332862434e-08,2.9336594960258018e-08,2.3932485362315747e-08
0.04799999999999999,3.24246575876536e-08,3.088062627395581e-08,2.9336594960258018e-08
0.04899999999999999,2.9336594960258018e-08,3.551272021504918e-08,3.628473587189807e-08
0.04999999999999999,3.7056751528746966e-08,3.551272021504918e-08,2.856457930340912e-08
0.05099999999999999,3.396868890135139e-08,3.396868890135139e-08,2.9336594960258018e-08
0.05199999999999999,3.7828767185595867e-08,3.3196673244502493e-08,3.860078284244476e-08
0.05299999999999999,3.551272021504918e-08,2.856457930340912e-08,3.551272021504918e-08
0.05399999999999999,3.088062627395581e-08,3.16526419308047e-08,3.7056751528746966e-08
0.05499999999999999,2.9336594960258018e-08,3.088062627395581e-08,3.3196673244502493e-08
0.055999999999999994,4.014481415614254e-08,4.246086112668923e-08,3.16526419308047e-08
0.056999999999999995,4.014481415614254e-08,3.396868890135139e-08,3.7056751528746966e-08
0.057999999999999996,4.3232876783538134e-08,2.5476516676013543e-08,3.088062627395581e-08
0.059,4.014481415614254e-08,4.014481415614254e-08,4.246086112668923e-08
0.06,3.860078284244476e-08,4.400489244038702e-08,4.0916829812991444e-08
0.061,4.246086112668923e-08,4.632093941093371e-08,4.014481415614254e-08
0.062,3.396868890135139e-08,3.7828767185595867e-08,3.7828767185595867e-08
0.063,4.246086112668923e-08,3.396868890135139e-08,3.937279849929365e-08
0.064,2.856457930340912e-08,3.937279849929365e-08,3.937279849929365e-08
0.065,4.0916829812991444e-08,4.0916829812991444e-08,3.474070455820028e-08
0.066,3.551272021504918e-08,4.0916829812991444e-08,3.860078284244476e-08
0.067,4.3232876783538134e-08,4.0916829812991444e-08,4.014481415614254e-08
0.068,4.7864970724631494e-08,4.0916829812991444e-08,3.860078284244476e-08
0.069,4.3232876783538134e-08,4.4776908097235916e-08,3.24246575876536e-08
0.07,3.7056751528746966e-08,3.937279849929365e-08,4.168884546984034e-08
0.07100000000000001,3.7056751528746966e-08,3.937279849929365e-08,4.0916829812991444e-08
0.07200000000000001,4.246086112668923e-08,3.628473587189807e-08,3.7828767185595867e-08
0.07300000000000001,3.7828767185595867e-08,4.7864970724631494e-08,3.7828767185595867e-08
0.07400000000000001,4.7092955067782606e-08,3.937279849929365e-08,4.168884546984034e-08
0.07500000000000001,4.246086112668923e-08,3.396868890135139e-08,4.0916829812991444e-08
0.07599999999999998,5.0181017695178184e-08,3.937279849929365e-08,4.632093941093371e-08
0.07699999999999999,4.4776908097235916e-08,4.7092955067782606e-08,4.8636986381480395e-08
0.07799999999999999,4.7092955067782606e-08,4.554892375408482e-08,4.554892375408482e-08
0.07899999999999999,4.014481415614254e-08,4.4776908097235916e-08,4.632093941093371e-08
0.07999999999999999,4.0916829812991444e-08,4.3232876783538134e-08,4.0916829812991444e-08
0.08099999999999999,4.400489244038702e-08,4.7864970724631494e-08,4.168884546984034e-08
0.08199999999999999,4.3232876783538134e-08,4.632093941093371e-08,4.246086112668923e-08
0.08299999999999999,5.172504900887598e-08,3.860078284244476e-08,3.860078284244476e-08
0.08399999999999999,4.554892375408482e-08,4.554892375408482e-08,4.554892375408482e-08
0.08499999999999999,4.400489244038702e-08,4.632093941093371e-08,5.6357142949969346e-08
0.086,5.481311163627156e-08,5.0953033352027085e-08,4.0916829812991444e-08
0.087,4.4776908097235916e-08,5.172504900887598e-08,5.326908032257376e-08
0.088,4.4776908097235916e-08,4.8636986381480395e-08,5.249706466572487e-08
0.089,4.940900203832929e-08,4.940900203832929e-08,5.172504900887598e-08
0.09,4.7092955067782606e-08,5.0181017695178184e-08,4.168884546984034e-08
0.091,4.8636986381480395e-08,4.632093941093371e-08,4.168884546984034e-08
0.092,5.944520557736493e-08,5.558512729312045e-08,5.558512729312045e-08
0.093,5.404109597942266e-08,5.249706466572487e-08,4.940900203832929e-08
0.094,5.172504900887598e-08,4.7092955067782606e-08,5.404109597942266e-08
0.095,4.7864970724631494e-08,5.249706466572487e-08,4.168884546984034e-08
0.096,4.7864970724631494e-08,4.400489244038702e-08,5.558512729312045e-08
0.097,5.6357142949969346e-08,5.0181017695178184e-08,6.021722123421382e-08
0.098,5.944520557736493e-08,5.558512729312045e-08,5.712915860681824e-08
0.099,5.404109597942266e-08,4.8636986381480395e-08,5.481311163627156e-08
0.1,5.404109597942266e-08,4.554892375408482e-08,5.712915860681824e-08
